staged_id,evidence_type,market,query_or_item,metric_name,metric_value,metric_unit,observation,source_name,source_url,captured_at_utc,rights_status,used_by,notes
"PP-E024","retailer_offer","Egypt","Logitech Lift 910-006473","retailer_price_snapshot","4199","EGP","Noon page showed EGP 4,199, only 2 left, seller Zoka, noon-express fulfillment, and a two-year official-agent warranty; the page also listed multiple Lift part numbers.","Noon Egypt","https://www.noon.com/egypt-en/lift-vertical-ergonomic-mouse-wireless-bluetooth-or-logi-bolt-usb-receiver-quiet-clicks-4-buttons-compatible-with-windows-macos-ipados-laptop-pc-black/N53341712A/p/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C12","Unstable price, seller, fulfillment, stock, and warranty observation. Variant co-mingling requires confirmation of graphite right-handed 910-006473 in cart."
"PP-E025","retailer_offer_rejected","Egypt","UGREEN-branded cable clips CB-54259","identity_traceability","failed","status","Noon listing showed EGP 75, add-to-cart availability, seller SpaceShoop, noon-express fulfillment, and retailer-stated model CB-54259 / Cable Organizer-4, but no matching manufacturer model page was verified.","Noon Egypt","https://www.noon.com/egypt-en/2-pack-cable-clips-holder-desktop-cable-management-system-cable-organizer-for-power-cords/N52353977A/p/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C13","Rejected because exact manufacturer identity and specifications could not be traced."
"PP-E026","retailer_offer_rejected","Egypt","Generic 3m Cable Tidy Kit","identity_traceability","failed","status","Noon listing showed EGP 761.25, only 5 left, seller SHOPPING BOX, and Marketplace fulfillment, but supplied no stable manufacturer or model identifier.","Noon Egypt","https://www.noon.com/egypt-en/3m-cable-tidy-kit-with-clips-for-cord-and-wire-organization-at-home-or-office-wrap-and-hide-cables-easily-without-tools/ZE9778DCE447C3AAE27DAZ/p/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C14","Rejected because a generic no-model listing cannot support exact-item verification or durable evidence linkage."
"PP-E027","retailer_offer","Egypt","Anker 332 USB-C Hub A8355 family","retailer_price_snapshot","1539","EGP","Amazon Egypt exact Anker 332 product page showed EGP 1,539, in-stock status, Amazon.eg as seller and shipper, free returns, and 15-day returnability.","Amazon Egypt","https://www.amazon.eg/-/en/dp/B0BQLLB61B","2026-07-15T00:20:00Z","SOURCE_LINK_ONLY","PP-C01","Exact named product family and configuration; price, stock, returns, seller, and fulfillment are unstable and must be rechecked."
"PP-E028","manufacturer_safety","Global","Anker 332 USB-C Hub A8355","power_and_compatibility_gate","qualified","status","Anker specifies a 100W PD input with up to 85W passed to the laptop, states that a charger is not included, and limits video output to compatible USB-C hosts.","Anker","https://www.anker.com/products/a8355","2026-07-15T00:20:00Z","SOURCE_LINK_ONLY","PP-C01","Safety disposition: the hub is not a mains adapter; use a compliant PD charger and cable and reject hosts without the required USB-C video support."
"PP-E029","retailer_offer","Egypt","UGREEN Foldable Laptop Stand 40289","retailer_price_snapshot","666","EGP","Amazon Egypt exact product page showed EGP 666, in-stock status, Amazon.eg as seller and shipper, and free returns.","Amazon Egypt","https://www.amazon.eg/-/en/dp/B08TLVKBMJ","2026-07-15T00:22:00Z","SOURCE_LINK_ONLY","PP-C04","The product title names the exact UGREEN foldable stand; manufacturer model mapping establishes 40289. Recheck price and stock."
"PP-E030","retailer_offer","Egypt","JOYROOM JR-ZS368 six-piece black","retailer_price_snapshot","279","EGP","Amazon Egypt exact product page showed EGP 279, one unit left, seller Basics EG, and free returns; the shipping party was not exposed in the captured buybox.","Amazon Egypt","https://www.amazon.eg/-/en/dp/B0DJH1W2N4","2026-07-15T00:27:00Z","SOURCE_LINK_ONLY","PP-C09","Exact title and six-piece variant. Fulfillment remains unclear; recheck stock, seller, and delivery before promotion."
"PP-E031","retailer_offer","Egypt","Logitech Signature M650 small-medium graphite","retailer_price_snapshot","1799","EGP","Amazon Egypt product page showed the Signature M650 small-to-medium graphite variant at EGP 1,799, only four left, sold by Dokkan Tech, with free returns; the regional part number was not printed in the title.","Amazon Egypt","https://www.amazon.eg/-/en/dp/B09QWY7JYK","2026-07-15T00:30:00Z","SOURCE_LINK_ONLY","PP-C10","Variant identity matches model, size, hand orientation, and color; compare by named variant because the Amazon page does not expose Noon regional part number 910-006253."
"PP-E032","manufacturer_spec","Global","Havit HV-F2069 Laptop Cooling Pad","manufacturer_specification","verified","status","Havit's official online product page identifies HV-F2069 with four fans, dual USB ports, speed control, two height settings, and compatibility with 15.6–17.3-inch laptops; Type-C hosts need an adapter.","Havit Online","https://www.prohavit.com/zh-hans-jp/products/hv-f2069-laptop-cooling-pad-for-up-to-17-inch-laptop","2026-07-15T00:25:00Z","SOURCE_LINK_ONLY","PP-C15","The manufacturer store marks the product no longer available there; the page remains valid identity/specification evidence but creates a refresh risk."
"PP-E033","retailer_offer","Egypt","Havit F2069 Gaming Laptop Cooling Pad","retailer_price_snapshot","1035","EGP","Amazon Egypt exact product page showed EGP 1,035, in-stock status, Amazon.eg as seller and shipper, and free returns.","Amazon Egypt","https://www.amazon.eg/-/en/dp/B0CP198X1G","2026-07-15T00:25:00Z","SOURCE_LINK_ONLY","PP-C15","Exact model title. Recheck price, stock, seller, and fulfillment before promotion."
"PP-E034","retailer_offer","Egypt","Havit F2069 RGB cooling pad","retailer_price_snapshot","1040","EGP","Noon Egypt exact F2069 listing showed EGP 1,040, a visible 4.5 rating from 13 ratings, free delivery, and noon-express fulfillment.","Noon Egypt","https://www.noon.com/egypt-en/f2069-rgb-light-10-clock-mode-cooling-pad-cool-for-laptop-low-noise-fan-cooler-with-cell-phone-holder/N70023962V/p/","2026-07-15T00:25:00Z","SOURCE_LINK_ONLY","PP-C15","The seller name was not retained and must be rechecked. Rating and price are volatile observations, not quality guarantees."
"PP-E035","manufacturer_safety","Global","Havit HV-F2069 USB power","power_and_compatibility_gate","qualified","status","The Havit product page describes dual USB operation, one connection for power, and the need for a Type-C-to-USB adapter when applicable.","Havit Online","https://www.prohavit.com/zh-hans-jp/products/hv-f2069-laptop-cooling-pad-for-up-to-17-inch-laptop","2026-07-15T00:25:00Z","SOURCE_LINK_ONLY","PP-C15","Safety disposition: this is a host-USB-powered accessory; do not present it as an internal laptop repair."
